Doctor Name,Degree(s),Affiliated Hospital Name,Affiliated Hospital Address
"Ofori-Adjei, Eugenia Naa Koshie","M.B., Ch.B (U.G.M.S)",University Hospital,"P. O. Box LG 79, Legon, Accra"
"Ofori-Adjei, Imelda-Odille Dziffa-B","M.B., Ch.B (U.G.M.S),M.G.C.S (GCPS)",,"P. O. Box KB 734, Korle-Bu, Accra"
"Ofori-Adjei, Mark","M.B., Ch.B (SMS- KNUST)",,"P. O. Box KN 5453, Kaneshie-Accra"
"Ofori-Adjei, Reginald","M.D. (Odessa State Med. Inst., Russia Fed.)",Delta Clinic,"P. O. Box KB 112, Korle-Bu, Accra"
"Ofori-Adjei, Yaw Adjei","M.B., Ch.B (U.G.M.S)",Dept. of Medicine,"P. O. Box 77, Korle-Bu, Accra"
"Ofori-Amanfo, Kofi Jnr.","M.B., Ch.B. (U.G.M.S.),F.C.O.G. (College of Medicine, South Africa)",Victoria Hospital,"P. O. Box 3214, Community 1, Tema"
"Ofori-Amankwah, Gerhard Kwaku","M.B.B.S. (Univ. of Jos, Nigeria),Dip. In Anaesthesia (WACS),Family Medicine (WACP),F.W.A.C.P (WACP)",,"P. O. Box DS 915, Dansoman, Accra"
"Ofori-Anti, Augustus","M.B., Ch.B (U.G.M.S)",,"P. O. Box 4430, Kumasi"
"Ofori-Anti, Kwasi","M.B., Ch.B (U.G.M.S)",Dept. of Emerg. Medicine,"P. O. Box KS 1934, Kumasi"
"Ofori-Atta, Paul","M.B., Ch.B (U.G.M.S)",,"P. O. Box KB 234, Korle-Bu, Accra"
"Ofori-Boadu, Lawrence","M. B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Tema General Hospital,"P. O. Box 14, Tema"
"Ofori-Darko, Asiedua Akua","M.B., Ch.B (UG-SMD)",Jubail Specialist Hosp,"P. O. Box CO 1640, Tema"
"Ofori-Koramoah, Kwame","M.B., Ch.B (U.G.M.S)",Asamankese Government Hosp,
"Ofori-Yeboah, Abigail",M.D (Donetsk Nat. Med. Univ.),Alexander Ababio Memorial Clinic,
"Ofori, Afua","M.B., Ch.B. (KNUST- SMS)",Dept. of Medicine,"P. O. Box KS 1934, Kumasi"
"Ofori, Afua Gyamfua",B.D.S (U.G.D.S),Adabraka Polyclinic,
"Ofori, Anthony Amanfo","M. B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",,"P. O. Box X 522, Kumasi"
"Ofori, Anthony Frank Leo","M.D. (Univ. of Wurzburg),Surgical Spec. (Bethlehem Univ. Hospital, Germany)",BA Regional Hospital,"P. O. Box 27, Sunyani"
"Ofori, Cyril Senyo","M.B., Ch.B (U.G.M.S)",,"P. O. Box CT 9389, Cantonments, Accra"
"Ofori, Emmanuel Owusu","M.B., Ch.B (UCC-SMS)",Cape Coast Teaching Hospital,
"Ofori, Ernest Borgnine","M.B., Ch.B (UGMS)",Barnor Hospital,"P. O. Box GP 22460, Accra"
"Ofori, Esmond","M. B., Ch.B (KNUST-SMS),M.G.C.S (G.C.P.S.)",Dept. of Obst. & Gynae,"P. O. Box KS 1934, Kumasi"
"Ofori, Isaac",M.B.B.S (Wenzhou Medical College),KBTH,"P. O. Box 77, Korle-Bu, Accra"
"Ofori, Jillian","M.B., Ch.B (KNUST-SMS)",Acre City Medics,
"Ofori, Nicholas Nana","M.B., Ch.B (U.G.M.S)",C & J Medical Hospital,"P. O. Box KIA 9301, Accra"
"Ofori, Sampson Badu","M.B., ChB (U.G.M.S),Dip. in Dermatology (Univ. of London)",Eastern Regional Hospital,"P. O. Box KF 201, Koforidua"
"Ofori, Samuel Kwame Boateng","M.B., Ch.B (U.G.M.S)",Police Hospital,"P. O. Box CT 104, Cantonments, Accra"
"Ofori, Stanley Kwame","M.D. (Higher Inst. of Med. Sciences, Cuba)",Atlantis Clinic,"P. O. Box CE 11516,"
"Ofori, William Mante","M.D. (Univ. of Vienna, Austria),Sp. Cert. Surgery (Univ. of Vienna, Switzerland)",St. Dominic’s Hospital,"P. O. Box 59, Akwatia"
"Ofosu-Akromah, Richard","M.B., Ch.B (KNUST-SMS)",Eastern Regional Hospital,"P. O. Box KF 201, Koforidua"
"Ofosu-Appiah, Ernest Addo","M.D. (Higher Inst. of Med., Flovdiv, Bulgaria),Dip. In Anaesthesia (East African College of Surgeons),F.W.A.C.S (WACS)",National Cardio Centre,"P. O. Box KB 77, Korle-Bu, Accra"
"Ofosu-Barko, Ben Blay","M.B., Ch.B (KNUST-SMS)",Dept. of Obst. & Gynae,"P. O. Box 1934, Kumasi"
"Ofosu-Sarpong, Bright","M.B., Ch.B (KNUST-SMS)",Divine Love Hospital,
"Ofosu, Abena Darkoa","M.B., Ch.B. (U.G.M.S.)",Presbyterian Church,"P. O. Box 9, Tafo - Akim"
"Ofosu, Anthony Adofo","M.B., Ch.B (U.G.M.S),M.P.H (UG)",Ghana Health Service,
"Ofosu, George Adams","M.B., Ch.B (KNUST-SMS)",Trust Hospital,
"Ofosu, Winfred Komla","M.B., Ch.B (U.G.M.S),M.P.H (UG),M.G.C.P (G.C.P.S.)",Regional Helath Directorate,"P. O. Box 72, Ho"
"Ofungwu, Obiageli Joan","M.B., Ch.B (KNUST-SMS)",Dept. of Aneasthesia,
"Ogbarmey, Emmanuel","M.B., Ch.B ((UG-SMD)",,
"Ogbordjor, Stephen Agbeteye","M.D (Vinnitsa State Med. Inst., Ukraine,M.P.H (KNUST)",,"P. O. Box 470, Konongo"
"Oghenovo, Emmanuel Kofi","M.B.B.S. (Ahmadu Bello Univ.),M.G.C.S (GCPS)",Margaret-Marguart Catholic hospital,
"Ogoe, Alfred Kwesi Korbia","M.D (Kharkov State Med. Inst.),Sp. In Urology (Bavarian Medical Council),F.E.B.U (European Board of Urology)",Ridge Hospital,"P. O. Box 473, Accra"
"Ogoe, Edwin Morgan Kwegyir","M.B., Ch.B (U.G.M.S)",Lighthouse Mission Hospital,
"Ogoe, Monica","M.B., Ch.B. (U.C.C-SMS)",MC 451,
"Ogundipe, Bernard Adetunji",M.B.B.S (Univ. of Lagos),Church of Christ Mission Clinic,
"Ogyaadu, Adjei Joseph","M.B., Ch.B (UGMS),Part II (Orth & Trauma ) W.A.C.S.",FOCOS Othopaedic Hospital,"P. O. Box KD. 779, Kanda"
"Ogyaadu, Selassie Joasline","M.B., Ch.B (UGMS)",,"P. O. Box LT 473, Latebiokorshie, Accra"
"Ogyefo, Isaac Nana","M.B., Ch.B. (KNUST-SMS)",Dept. of Medicine,"P. O. Box 1934, Kumasi"
"Ohemeng-Dapaah, Jessica","M.B., Ch.B. (KNUST-SMS)",Claron Medical Centre,"P. O. Box 881, Kumasi"
"Ohemeng-Mensah, Elvis","M.B., Ch.B (U.G.M.S)",KBTH,"P. O. Box 77, Korle-Bu, Accra"
"Oheming, Samuel Anthony",Diploma in Medicine (University of Berne),Safo Adu Mem. Hospital,
"Ohene-Agyei, Phyllis","M.B., Ch.B. (KNUST-SMS)",International SOS,
"Ohene-Dankyi,Nana Yaw","M.B., Ch.B (U.G.M.S.)",KBTH,
"Ohene, Anastasia Abena","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Dept. of Anaesthesia,"P. O. Box KS 1934, Kumasi"
"Ohene, Sally-Ann","M.B., Ch.B (U.G.M.S),M.P.H (Univ. of Minnestoa),Diplomate in Adolescent Medicine (ABP),Diplomate of the AB of Paediatrics (ABP)",,"P. O. Box MB 142, Accra"
"Ohene, Sammy Kwame","M.B., Ch.B (U.G.M.S),F.W.A.C.P (WACP)",Dept. of Psyciatry,"P. O. Box 4236, Korle-Bu, Accra"
"Oheneba-Adjei, Juliet","M.B., Ch.B (U.G.M.S)",,
"Oheneba-Williams, Albertina","M.B., Ch.B (U.D.S),M.G.C.P (GCPS)",Dept. of Radiology,"P. O. Box KB,"
"Okai-Brako, Nana","M.D. (Higher Inst. of Med. Sc., Havana, Cuba)",Ridge Hospital,"P. O. Box 473, Accra."
"Okai, Bernard Kwaku","M.B., Ch.B (KNUST-SMS)",Dept. of Obs/Gyn,"P. O. Box KS 1934, Kumasi"
"Okai, Emmanuel Nii Okai","M.B.,ChB (KNUST-SMS),Master of Trop. Paediatrics (Univ. of Liverpool),M.R.C.Paed. and Child Health (RC Paed. & Chd Hlth)",Dept. of Paediatrics,
"Okaiteye-Blessyn, Nathaniel","M.D. – Ministry Of Health, Ukraine",Bengali Hospital,"P. O. Box 1360, Tema"
"Okang-Boye, Jonathan Akrong","M.D (Kalinin State Med. Inst.),Dip. in Ophthalmology (WACS),MSc. Comm. Health (London Sch. Hyg./Trop. Med.)",Nsawam Government Hospital,"P. O. Box 100, Nsawam"
"Okang, Maclean",B.D.S (U.G.D.S),Platinum Dental,"P. O. Box GP 3994, Accra"
"Okang, Yvonne Afi","M.B., Ch.B (U.G.M.S.)",Dept. of Emergency Medicine,
"Okantey, Emmanuel Nii Okai","M.D (Inst. Of Med. And Pharm., Univ. of Bucharest)",BOB Freeman Clinic (SIC),"P. O. Box 2363, Accra."
"Okantey, Patience Okaikai","M.B., Ch.B. (KNUST-SMS)",Tema General Hospital,"P. O. Box 14, Tema"
"Okine, Emily-Ann Adoley","M.D. (Russian State Med. Univ., Russia)",C & J Medicare Centre Ltd,
"Okine, Emmanuel Nii Okai","M. B., Ch.B (KNUST-SMS)",Holy Family Hospital,
"Okine, Rafiq Nii Attoh","M.B., Ch.B. (UG-S.M.D)",Korle Bu Teaching Hospital,
"Okine, Vincent Percy","M. B., Ch.B (KNUST-SMS)",Family Health Hospital,
"Okleme, Augustus Nii K","M.B., Ch.B (KNUST-SMS)",St. Joseph Hospital,"P. O. Box 40, Koforidua"
"Okleme, Helen","M.B., Ch.B (KNUST-SMS)",,"P. O. Box 40, Koforidua"
"Oklu, Elikem Yao","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box CO 1839 Tema,"
"Okogwu-Pieterson, Elleisabeth","M.B., Ch.B. (UG-S.M.D)",Greater Accra Regional Hospital,
"Okoh-Owusu, Marion","M. B., Ch.B (KNUST-SMS)",Mpohor District Health Directorate,"P. O. Box 13, Mpohor"
"Okoh, Abena Asamoabea","M.B., Ch.B (U.G.M.S)",Maamobi General Hospital,"P. O. Box 184, Maamobi"
"Okoh, David Kwabena","M.B., Ch.B (U.G.M.S)",Dept. of Surgery,"P. O. Box 77, Korle-Bu, Accra."
"Okoh, Emmanuel Annor","M.B., Ch.B (UG-SMD)",,"P. O. Box CT4572, Accra"
"Okoh, Victor Odjana","M.B., Ch.B (UGMS)",,"P. O. Box AT 1930, New Achimota."
"Okpoko, Gwendolyn Umujoro","M.B., Ch.B. (KNUST-SMS)",GP 13567,
"Okpoti, Collins Nii Anang","M.B., Ch.B (KNUST-SMS)",Akatsi District Hospital.,
"Okrah, Samuel Kwasi",B.D.S (U.G.D.S),Ridge Hospital,"P. O. Box 473, Accra"
"Okrah, William Konadu","M.B., Ch.B. (KNUST-SMS)",Owusu Memorial Hospital,"P. O. Box 210, Sunyani"
"Okronipa, Richmond Akuaku","M.B., Ch.B (KNUST-SMS)",The Trust Hospital,
"Oku-Aryee, Eric Nii","M.B., Ch.B (KNUST-SMS)",Dept. of Obst/Gyn,"P. O. Box KS 1934, Kumasi"
"Oku, Aaron Nii Tettey","M.B., Ch.B (UGMS)",,"P. O. BOX KN 394, Kaneshie-Accra"
"Oku, Caroline","M.B., Ch.B. (KNUST-SMS)",Komfo Anokye Teaching Hospital,"P. O. Box 1934, Kumasi"
"Okunoye, Gbemisola Ojo",M.B.B.S (Univ. of Ibadan),St. Augustine Clinic,"P. O. Box KS 9587, Kumasi"
"Okwabi, Thomas Nii Armah","M.D. (Rostov State Med. Inst, Russia Fed.)",Motorway Clinic,"P. O. Box AN 11611, Accra."
"Okyere-Darko, Clement",B.D.S (UGDS),Dental Dept,
"Okyere-Frempong, Ruby Abena A","M.B., Ch.B (U.G.M.S)",Police Hospital,
"Okyere, Bernard","M.B., Ch.B. ( UDS-SMHS)",Brong Ahafo Regional Hospital,
"Okyere, Felicia Etema Duopah","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",St. Patrick’s Hospital,"P. O. Box 17, Offinso"
"Okyere, Isaac","M. B., Ch.B (KNUST-SMS)",Dept of Surgery,"P. O. Box KS 1934, Kumasi"
"Okyere, Perditer","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS),F.G.C.P (GCPS)",Dialysis Unit,"P. O. Box 77, Korle-Bu, Accra"
"Okyne, Edwin","M.B., Ch.B (UGMS)",,"P. O. Box LT 140, Lartebiorkorshie, Accra."
"Olawaiye, Oluwakemi Gbemileke","M.B., Ch.B. (KNUST-SMS)",New Crystal Health Services,
"Olayemi, Edeghonghon","M.B.B.S (Univ. of Ibadan),F.W.A.C.P (W.A.C.P)",Dept of Haematology,
"Olayemi, Osa","M.B.B.S(Univ. of Benin, Nigeria),M.W.A.C.P (W.A.C.P),F.W.A.C.P (W.A.C.P),M.P.H. (University of Ghana)",,"P. O. Box 5224, Accra-North"
"Olesu, Jonathan Tettey",B.D.S (UGDS),Cape Coast Teaching Hospital,"P. O. Box 1363, Cape Coast"
"Oliveira, Emma Saaba Hagan","B.D.S (The Methodist Univ. of Sao Paulo, Brazil)",The Trust Hospital,
"Oliver-Commey, Joseph Adjetey","M.B., Ch.B (U.G.M.S),M.P.H (UG),M.W.A.C.P (WACP)",LEKMA Hospital,
"Oman, Abraham","M.B.B.S. (Shenyang Medical College),",International Health Development Network,
"Omane Boadi, Samuel",B.D.S. (KNUST-DS),St. Elizabeth’s Hospital,"P. O. Box 4, Hwidiem"
"Omari, Isaac","M.B., Ch. B (KNUST-SMS)",International SOS,
"Omaro, Vanessa","M.B., Ch.B (U.G.M.S)",Swedru Municipal Hospital,
"Omuojine, John-Paul","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 24, Bantama"
"Onuoha, Emily","B.D.S. (UGDS),M.P.H (UG),MSc. Dental and Max. Radiology ( Univ. of London),F.G.C.S (GCPS)",Mamprobi Polyclinic,"P. O. Box 2453, Accra"
"Onuoha, Nicole Amara","M.B., Ch.B (U.G.M.S)",West African Rescue Assoc.,"P. O. Box 2453, Accra"
"Onuzo, Chibuikem Nwabugwu","M.B., Ch.B (UG-SMD)",KBTH,
"Onwona-Agyeman, Asamoah K.","M.D. (Lviv State Med Univ),M.W.A.C.P. – Paediatrics (W.A.C.P.)",Tema General Hospital,
"Opai-Tetteh, Emmanuel Tamatey","M.B., Ch.B (U.G.M.S),F.G.C.P.S (G.C.P.S)",,"P. O. Box 3855, Dainfern, South Africa."
"Opai-Tetteh, Irene Tekwor","M.B., Ch. B (U.G.M.S)",37 Military Hospital,
"Opantsir-Arthur, Joseph","M.D. (State Exam. Commission, Russia Fed.)",Godia Clinic,"P. O. CE 11270, Tema"
"Opare-Addo, Gyanwa","M.B., Ch.B. (KNUST-SMS)",Eastern Regional hospital,
"Opare-Addo, Henry Sakyi","M.B., Ch.B (KNUST-SMS),F.W.A.C.S (WACS)",Dept. of Obs/Gyn,"P. O. Box KS 1934, Kumasi"
"Opare-Sem, Philip Ohene K.","M.B., Ch.B (KNUST-SMS),Dip. Int. Med. (American Board of Internal Med.),C.F. Haem & Onco, (Univ. of Med. & Den. , NJ, USA),Dentist, New Jersey, USA",Dept of Medicine,"P. O. Box KS 1934, Kumasi"
"Opare, David Agyapong","M.D (Moscow Med. Inst., Russia Fed.),M.P.H (UG),Master of Science in Medical Microbiology (Univ. of,London)",,"P. O. Box 300, Accra."
"Opare, Joseph Kwadwo","M.D (Rostov State Med. Inst.),M.P.H. (Univ. Of Ghana",Reg. Health Admin.,
"Opare, Richmond Korang",M.B.B.S (Taishan Medical Univ.),Sam J Specialist Hospital,
"Opata, Michael Tetteh","M.B., Ch.B (KNUST-SMS)",Darbem Medical Center,
"Opata, Vera Nicolaevna","M.D. (Lvov, State Medical Institute, U.S.S.R.,M.P.H. (University of Ghana),M.G.C.P. (Ghana Colleg of Physicians and Surgeons)",G.H.S,
"Opoku Afriyie, Enoch","M.B., Ch.B (KNUST-SMS)",Dept. Of Emergency Medicine,
"Opoku-Achampong, Emmanuel","M.B., Ch.B. (KNUST-SMS)",Holy Family Hospital,
"Opoku-Adamu, Asante","M.B., Ch.B (U.G.M.S),",Opoku Ware Hospital,
"Opoku-Adusei, Kwabena","M.B., Ch.B (KNUST-SMS)",Tema General Hospital,
"Opoku-Agyakwa, Marian Odamea","M.B., Ch.B (U.G.M.S),M.W.A.C.P (W.A.C.P.)",Korle-Bu Polyclinic,"P. O. Box 77, Korle-Bu, Accra"
"Opoku-Agyemang, Chtistfelly","M.B., Ch.B (UG-SMD)",,"P. O. Box 638, Tema"
"Opoku-Akoto, Cynthia","M.B., Ch.B (U.G.M.S)",Accra Medical Centre,"P. O. Box 5332, Cantonments, Accra"
"Opoku-Akyeampong, N. A. A. S","M.B., Ch.B (KNUST-SMS)",Ridge Hospital,"P. O. Box 473, Accra."
"Opoku-Amponsah, Emmanuel",M.D. (Belarusian State Med. Univ.),Nadowli District Hospital,
"Opoku-Ansah, Papa Yaw","M.B., Ch.B. (KNUST-SMS)",,
"Opoku-Antwi, Alissar","M.B., Ch.B (KNUST-SMS)",Korle Bu Teaching Hospital,
"Opoku-Asamoah, Gabriel","M.B., Ch.B (U.GM.S)",,
"Opoku-Asare, Akosua Nfodwaa","M.B., Ch.B (U.G.M.S)",,"P. O. Box CT 1783, Cantonments - Accra"
"Opoku-Asare, Bismark","M.B., Ch.B (U.G.M.S)",,"P. O. Box CT 1783, Cantonments, Accra"
"Opoku-Boateng, Yaw Nyarko",M.D. ( Bogomolets Nat’l Med. Univ.),Tamale Teaching Hospital,"P. O. Box TL16, Tamale"
"Opoku-Buabeng, Joseph",M.D. (Univ. of Rome),Dept. of ENT,"P. O. Box KS 1934, Kumasi"
Opoku-Darko Kwadwo,"M.B., Ch.B (UGMS)",Dept. Of Anaesthesia,
"Opoku-Mensah, Frank","M.B., Ch.B (KNUST-SMS)",Modern Surgical Centre,"P. O. Box 29, Savelugu."
"Opoku, Adu","M.D. (Univ. Heidelberg, Germany)",Bethany Medical Services,"P. O. Box AN 7306, Accra"
"Opoku, Afriyie Augustine","M.B., Ch.B (KNUST-SMS)",Dept. of Obst & Gynae,"P. O. Box KS 1934, Kumasi"
"Opoku, Akwasi Baafuor","M.B., Ch.B. (KNUST-SMS)",KATH,"P. O. Box KS 5445, Kumasi"
"Opoku, Albert Adu","M.B., Ch.B (U.G.M.S)",,
"Opoku, Asante","M.D. (Gdansk Med. Academy, Poland),Dip. In Opthalmology (WACS)",The Trust Specialist Hospital,
"Opoku, Constance Afra","M.B., Ch.B (KNUST-SMS),M.G.C.P (GCPS)",Dept of Family Medicine,"P. O. Box KS 1934, Kumasi."
"Opoku, Dominic","M.B., Ch.B. ( U.G.M.S.)",St. John of God Hospital,
"Opoku, Ernest","M.B., Ch.B (KNUST-SMS)",Dept. of Emergency Medicine,"P. O. Box 1934, Kumasi"
"Opoku, Ernest Cudjoe","M.B., Ch.B (KNUST-SMS),M.P.H. (K.N.U.S.T.)",Komfo Anokye Teaching Hospital,"P. O. Box KS 1934, Kumasi"
"Opoku, Eva Evelyn",B.D.S (U.G.D.S),School of Medicine & Dentistry,
"Opoku, Godfred Boadi","M.B., Ch.B (KNUST-SMS)",The Community Hospital,
"Opoku, Juliet","M.B., Ch.B (KNUST-SMS)",Regional Hospital,
"Opoku, Kennedy","M. B., Ch.B (KNUST-SMS),Dip. In Opthalmology (WACS)",Agogo Presby Hospital,"P. O. Box 27, Agogo"
"Opoku, Michael","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Manhyia District Hospital,"P. O. Box 1908, Manhyia, Kumasi"
"Opoku, Nicholas Obuobisa","M. B., Ch.B. (U.G.M.S)",Hohoe Municipal Hospital,"P. O. Box 144, Hohoe, Volta Region"
"Opoku, Rapelanuru Rabenya B.A.",M.D. (Crimea State Med. Inst.),Tafo Government Hospital,
"Opoku, Richard Agyemang","M.B., Ch.B. (KNUST-SMS)",Holy Family Hospital,
"Opoku, Robert K. Osei Tutu",M.D. (Vitebsk State Med. Univ.),Kumasi South Hospital,"P. O. Box 1908, Kumasi"
"Opong-Addoh, Mavis","M.B., Ch.B (KNUST-SMS)",Ashaiman Polyclinic,
"Opong, David Sarpong",B.D.S (U.G.D.S),Shai-Osudoku District Hospital,
"Oppon, Kenneth John","M.B., Ch.B. ( UDS-SMHS)",Comboni Catholic Hospital Sogakofe,
"Oppon, Kofi Frimpon","M.B., Ch.B (KNUST-SMS)",Dept. of Medicine,"P. O. Box 1934, Kumasi"
Oppong Grace,"M.B., Ch.B (KNUST-SMS)",Effia-Nkwanta Regional Hospital,
"Oppong Odei, Freda","M.B., Ch.B (KNUST-SMS)",Peace & Grace Hospital,"P. O. Box WF 127, Sefwi-Bekwai"
"Oppong-Amoah, Seth","M.D. (Volgograd State Med. Inst., Russia Fed.)",Annor Asare Memorial Clinic,"P. O. Box 218, Kintampo"
"Oppong-Anane, Abena","M.B., Ch.B (U.G.M.S)",Dept. of Radiology,
"Oppong-Kyekeyku, Kwaku Ankra","M.B., Ch.B (UGMS)",Dept. of Obst & Gynae,"P. O. Box KB 77, Kumasi"
"Oppong-Kyekyeku, Daniel","M.B., Ch.B (KNUST-SMS),",Methodist Hospital,"P. O. Box KW 184, Kwadaso"
"Oppong-Mensah, Yaa Gyamfua","M.B., Ch.B. (U.G.M.S.)",Dept. of Child Health,"P. O. Box KS 1934, Kumasi"
"Oppong-Yeboah, Crosby","B.D.S (U.G.D.S),Dip. Dental Surgery (RCPS,Glasgow),M.P.H (Univ. of Leeds)",Volta Regional Hospital,"P. O. Box MA 374, Ho"
"Oppong, Abraham Adjei","M.B., Ch.B (KNUST-SMS),",No. 4 Sir Arku Korsah Rd.,
"Oppong, Charles Wiredu","M.B., Ch.B (U.G.M.S)",Korle Bu Teaching Hospital,
"Oppong, Chris Kwaku","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",KATH,"P. O. Box UP 825 KNUST, Kumasi"
"Oppong, Clement","M.B., Ch.B (KNUST-SMS)",Bawku Presby Hosp,"P. O. Box 45, Bawku"
"Oppong, Emmanuel","M.B., Ch.B. (KNUST-SMS)",,"P. O. Box 9189, Ahinsan, Kumasi"
"Oppong, Emmanuel Kwaku","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",KATH,"P. O. Box UP 825,"
"Oppong, Felix","M.B., Ch.B. (KNUST-SMS)",Twumasiwaa Medical Centre,
"Oppong, Francis","M.B., Ch.B (KNUST-SMS)",Dept. of Psychiatry,"P. O. Box 1934, Kumasi"
"Oppong, Joseph Kwaku","M.B., Ch.B (KNUST-SMS)",Dept. of Surgery,"P. O. Box KS 1934, Kumasi"
"Oppong, Kofi Nyarko","M.B., Ch.B. (KNUST-SMS)",37 Military Hospital,
"Oppong, Kwabena Adutwum","M.B., Ch.B (KNUST-SMS)",KATH Polyclinic,"P. O. Box KS 1934, Kumasi"
"Oppong, Philip Peprah","M.B., Ch.B. (KNUST-SMS)",Dept. of ENT,"P. O. Box 1934, Kumasi."
"Oppong, Reuben Tweneboah",B.D.S (UG-SMD),Hana Memorial Saviour Hospital,
"Oppong, Samuel Antwi","M.B., Ch.B (U.G.M.S)",Dept. of Obs/Gyn,"P. O. Box 77, Korle-Bu, Accra"
"Opuni, Daniel","M.B., Ch.B (KNUST-SMS)",Accident & Emergency Centre,"P. O. Box 1934, Kumasi"
"Opuni, Felix Kingsley",M.B.B.S (Shenyang Medical College),Korle Bu Teaching Hospital,
"Opuni, Godwin Yaw Fosu","M.B., Ch.B (U.G.M.S),",Dept. of Trauma & Orthopaedics,
"Opuni, Ruby-Peggy Naa Adjeley","M.B., Ch.B (U.D.S, SMHS),M.G.C.P.(G.C.P.S.)",Cocoa Clinic,"P. O. Box 507, Kumasi"
"Orko, Richard Amanor","M.B., Ch.B (U.G.M.S),Cert. in Occupational Health (Univ. of Aberdeen),M.P.H (UG",Madamfo Hospital,"P. O. Box 741, Takoradi."
"Osafo-Beccles, Susana Emilia","M.D. (Kiev State Med. Inst., Ukraine)",,"P. O. Box 1640, Accra."
"Osafo-Kwaako, Alfred Oduro","M.B., Ch.B (U.G.M.S),MSc. Ophthalmology (Univ.of Nairobi)",,"P. O. Box KB 239, Korle Bu, Accra"
"Osafo, George Duncan","M.B., Ch.B (U.G.M.S)",,"P. O. Box KIA 9042, Airport, Accra"
"Osafo, Yao Sei","M.B., Ch.B (Univ. of Calacutta, India)",Healing for Africa Mission Clinic,"P. O. Box KF 934, Koforidua"
"Osafo, Yaw","M.B., Ch.B (U.G.MS)",Medicas Hospital,
"Osarfo, Joseph","M.B., Ch.B (KNUST-SMS),M.P.H (KNUST)",Effiduase Government Hopital,
"Osazuwa, Itohan Roseline",M.B.B.S (Univ of Port Harcourt),Rabito Clinic,
"Osei Agyapong, Jeff","M.B., Ch.B (KNUST-SMS)",Kwahu Gov’t Hospital,"P. O. Box MP 27, Mpraeso-Kwahu"
"Osei Agyei, Sandra Oforiwaa","M.B., Ch.B (KNUST-SMS)",Korle Bu Teaching Hospital,
"Osei Amankwah, Sidney","M.B., Ch.B. ( U.G.M.S.)",Legon Hosptial,
"Osei Kontoh, Georgette","M. B., Ch.B (KNUST-SMS),M.G.C.S. (G.C.P.S.)",Tetteh Quarshie Mem. Hosp,"P. O. Box 120, Mampong"
"Osei Odom, Ruth Nana Adjoa","M.B., Ch.B (U.G.-SMD)",,
"Osei Tutu, Nana Osem","M. B., Ch.B (KNUST-SMS)",Dept. of Family Medicine,"P. O. Box 1934, Kumasi"
"Osei-Akoto, Alex","M.B., Ch.B (KNUST-SMS),MWACP (WACP),FWACP (WACP)",KNUST/K.A.T.H. P,"P. O. Box KS 4768, Kumasi"
"Osei-Akoto, Ebenezer","M.B., Ch.B. ( UDS-SMHS)",Akomah Memorial Adventist Hospital,"P. O. Box 332, Bekwai"
"Osei-Ampofo, Maxwell","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS),M.P.H (KNUST),Clinical Fellowship in Emerg. Med. (Univ. of Toronto)",,"P. O. Box 203, KNUST, Kumasi"
"Osei-Appiah, Edward","M.B., Ch.B (KNUST-SMS),M.G.C.S (GCPS)",Sefwi Wiaso Municipal Hospital,"P. O. Box 7, Sefwi Wiaso."
"Osei-Asante, Dorothy Yaa Bonsu","M.B.B.S (Univ. of Dehli),Masters Int. Health. (Univ. of Copenhagen),M.G.C.P (GCPS)",,"P. O. Box 19463, Accra North"
"Osei-Assibey, Francis","M.B., Ch.B (U.G.M.S)",Dept. of Obs/Gyn,
"Osei-Boamah, Michael","M. B., Ch.B (KNUST-SMS),M.W.A.C.P (WACP),F.W.A.C.P (WACP)",Medical Division,
"Osei-Boateng, Celestina","M.B., Ch.B. (UCC-SMS)",,"P. O. Box 291 Akim Oda Eastern Region,"
"Osei-Bonsu, Adelaide","M.D. (Lekarz Pozman Med. Academy, Poland),Sp. Cert. in Haematology (W.A.C.P)",C.T. 2463,
"Osei-Bonsu, Alexander","M.D. (Lugansk Med. Inst.),M.P.H (UG)",New Abirem Gov’t Hospital,"P. O. Box 60, New Abirem"
"Osei-Bonsu, Angela","M.B., Ch.B. (KNUST-SMS)",Dept. of Child Health,"P. O. Box 1934, Kumasi."
"Osei-Bonsu, Ernest Baawuah","M.B., Ch.B (KNUST-SMS),M.C.O.R. (Oncologists) South Africa",Oncology Directorate,"P. O.,"
"Osei-Bonsu, Frank","B.D.S. (U.G.D.S),M.G.C.S (GCPS)",Ridge Hospital,"P. O. Box 473, Accra"
